年份,省份,城市代码,地级市,人均地区生产总值,CO2排放量,碳排放强度,绿色金融综合指数,绿色信贷,绿色投资,绿色保险,绿色债券,绿色支持,绿色基金,绿色权益,GDP,GDP增速,人均GDP,第一产业增加值,第二产业增加值,第三产业增加值,第一产业增加值占GDP比重,第二产业增加值占GDP比重,第三产业增加值占GDP比重,年末常住人口数,能源消费总量,人均能源消耗,减排效率,地区生产总值,能源消费强度,长江经济带,最早试点年份,Post_carbon,Treat_carbon,碳排放交易DID,经度,纬度,长江经济带.1,年份.1,Post_green,Treat_green,绿色金融试点DID,产业结构高级化,能源利用效率,绿色信贷规模,indus_2,gfi_std
2018,黑龙江省,230900,七台河市,2503258,11399033.56,-4.55367906943671,0.23224861,0.071227,0.017703,0.03185,0.011925,0.009748,0.057905,0.033129,2255400.0,5.6,32686.9565217391,309000.0,998000.0,1196200.0,12.35,39.87,47.79,69.0,360.23342885,5.22077433115942,5.0541,2503258,1.43905833457838,0,0,0,0,0,131.003138,45.771726,0,2018,0,0,0,1.1985971943887777,6948.988626600638,2.845371911325161e-08,0.39868043965104677,1.0151120978612527
2019,黑龙江省,230900,七台河市,2310000,11300212.44,-4.89186685714286,0.17212606,0.044065,0.013213,0.020519,0.007665,0.002669,0.082143,0.028477,2191200.0,3.8,31756.5217391304,331400.0,954500.0,1027400.0,14.33,41.26,44.41,69.0,290.07347391,4.20396339,5.1571,2310000,1.25572932428571,0,0,0,0,0,131.003138,45.771726,0,2019,0,0,0,1.0763750654793085,7963.499622570504,1.9075757575757577e-08,0.4132034632034632,0.2483129433891614
2020,黑龙江省,230900,七台河市,2060000,11142861.61,-5.40915612135922,0.27462754,0.090972,0.026962,0.039407,0.009431,0.015171,0.064404,0.020812,2043700.0,-2.5,29618.8405797101,360200.0,791800.0,912400.0,17.45,38.35,44.2,69.0,313.05087702,4.53696923217391,5.4523,2060000,1.5196644515534,0,0,0,0,0,131.003138,45.771726,0,2020,0,0,0,1.1523111896943672,6580.400028294417,4.416116504854369e-08,0.38436893203883493,1.555610258558561
2021,黑龙江省,230900,七台河市,2310000,12099715.86,-5.23797223376623,0.23008561,0.067768,0.017299,0.029737,0.00862,0.012112,0.060385,0.037884,2354800.0,5.2,34629.4117647059,373300.0,993000.0,948000.0,16.1,42.9,41.0,68.0,283.21908003,4.16498647102941,5.1383,2310000,1.22605662350649,0,0,0,0,0,131.003138,45.771726,0,2021,0,0,0,0.9546827794561934,8156.230151426638,2.9336796536796534e-08,0.42987012987012985,0.9875253343070931
2022,黑龙江省,230900,七台河市,2690000,12028972.34,-4.47173692936803,0.23153945,0.064288,0.016913,0.030695,0.012357,0.004321,0.080906,0.041053,2683000.0,5.3,40044.776119403,436000.0,1217000.0,1036000.0,16.2,45.3,38.5,67.0,505.34062929,7.54239745208955,4.4834,2690000,1.87858969996283,0,0,0,0,0,131.003138,45.771726,0,2022,0,0,0,0.8512736236647493,5323.142142319787,2.389888475836431e-08,0.4524163568773234,1.0060675166120305
2023,黑龙江省,230900,七台河市,2630000,12279783.69,-4.66911927376426,0.26828514,0.063947,0.019668,0.034793,0.019235,0.000329,0.104568,0.047361,2629000.0,3.4,39833.3333333333,434000.0,1099000.0,1096000.0,16.5,41.8,41.7,66.0,534.8525,8.10382575757576,4.6709,2905200,1.841018,0,0,0,0,0,131.003138,45.771726,0,2023,0,0,0,0.997270245677889,5431.77792008077,2.2011221258433156e-08,0.37828720914222774,1.474719694912744
2024,黑龙江省,230900,七台河市,2370000,12173818.29,-5.13663218987342,0.30278562,0.068697,0.021907,0.038169,0.022225,0.000474,0.120725,0.0535,2366000.0,-7.2,35848.4848484848,387000.0,625000.0,1354000.0,16.5944,40.1669,43.6822,66.0,566.0881,8.57709242424242,5.1453,3137616,1.804198,0,0,0,0,0,131.003138,45.771726,0,2024,0,0,0,2.1664,5542.628435397246,2.18946486759374e-08,0.19919582256082324,1.9147366085812643
2000,海南省,460200,三亚市,295398,929276.47,-3.1458455033548,0.07942911,0.022453,0.004636,0.009301,0.003735,0.00478,0.031083,0.012759,335276.0,11.3,6941.53209109731,110963.0,67985.0,156328.0,33.1,20.3,46.6,48.3,206.632922,4.27811432712215,2.7717,20570000,0.100453535245503,0,0,0,0,0,109.511909,18.252847,0,2000,0,0,0,2.299448407737001,99548.51240984726,1.0915410792416141e-09,0.0033050559066601847,-0.9339380237128947
2001,海南省,460200,三亚市,318613,944475.95,-2.96433588711069,0.08731966,0.026914,0.00694,0.011327,0.002997,0.005651,0.023559,0.014619,368204.0,11.6,7468.64097363083,112172.0,74250.0,181782.0,30.5,20.2,49.4,49.3,215.77863062,4.37684849127789,2.5651,21350000,0.101067274295082,0,0,0,0,0,109.511909,18.252847,0,2001,0,0,0,2.4482424242424243,98943.99616243147,1.260608899297424e-09,0.003477751756440281,-0.8333024540585843
2002,海南省,460200,三亚市,358800,966343.01,-2.6932636845039,0.12610379,0.039189,0.008092,0.017121,0.00624,0.007735,0.039142,0.013332,419852.0,12.2,8397.04,125294.0,80860.0,213699.0,29.8,19.3,50.9,50.0,246.029029,4.92058058,2.3016,352600,6.97756747022121,0,0,0,0,0,109.511909,18.252847,0,2002,0,0,0,2.6428271085827357,2385.6788914207964,5.292807910049114e-08,0.22932501418037435,-0.338652142471074
2003,海南省,460200,三亚市,411659,911151.73,-2.21336526105344,0.14855007,0.04502,0.011741,0.020413,0.00783,0.005036,0.044186,0.021721,478759.0,12.7,9424.38976377953,140492.0,95994.0,242273.0,29.3,20.1,50.6,50.8,266.94725752,5.25486727401575,1.9032,318613,8.37841699867865,0,0,0,0,0,109.511909,18.252847,0,2003,0,0,0,2.5238348230097714,2385.6788914207964,5.292807910049114e-08,0.3012871414537385,-0.05237372405662179
2004,海南省,460200,三亚市,482348,1016926.44,-2.10828372876015,0.11260414,0.028442,0.006101,0.014069,0.003921,0.004352,0.047728,0.0262,578579.0,13.2,11234.5436893204,159271.0,126995.0,292313.0,27.5,21.9,50.5,51.5,309.25368484,6.0049259192233,1.7576,358800,8.61911050278707,0,0,0,0,0,109.511909,18.252847,0,2004,0,0,0,2.301767786133312,2385.6788914207964,5.292807910049114e-08,0.3539437012263099,-0.5108258145070931
2005,海南省,460200,三亚市,742144,1062374.07,-1.43149317383149,0.13382731,0.043504,0.011406,0.021273,0.007769,0.003056,0.039839,0.014598,662859.0,13.2,12649.9809160305,171969.0,150841.0,340049.0,25.9,22.8,51.3,52.4,369.8495424,7.0581973740458,1.6027,411659,8.98436673071644,0,0,0,0,0,109.511909,18.252847,0,2005,0,0,0,2.254353922342069,2385.6788914207964,5.292807910049114e-08,0.36642220867271214,-0.24014686274577465
2006,海南省,460200,三亚市,1092608,1175856.85,-1.07619278826441,0.1287519,0.031697,0.008859,0.013585,0.003545,0.005708,0.04865,0.032689,860019.0,14.5,16045.1305970149,196469.0,202812.0,460738.0,22.8,23.6,53.6,53.6,388.90432845,7.25567776958955,1.3672,482348,8.06273330562167,0,0,0,0,0,109.511909,18.252847,0,2006,0,0,0,2.2717492061613713,2385.6788914207964,5.292807910049114e-08,0.420468209674343,-0.3048783170270584
2007,海南省,460200,三亚市,1223161,1213999.9,-0.992510307310321,0.1636725,0.04923,0.011122,0.023378,0.00917,0.00556,0.057108,0.019416,1137357.0,20.96,20679.2181818182,218323.0,277040.0,641994.0,19.2,24.4,56.4,55.0,450.33266408,8.18786661963636,1.0674,742144,6.06799575392377,0,0,0,0,0,109.511909,18.252847,0,2007,0,0,0,2.3173332370776785,2385.6788914207964,5.292807910049114e-08,0.3732968264918938,0.14049678023109358
2008,海南省,460200,三亚市,1443178,1294971.03,-0.897305134917522,0.19151745,0.060218,0.014095,0.026006,0.010513,0.009603,0.054059,0.01827,1581659.0,17.2,27993.9646017699,319716.0,327622.0,934322.0,20.2,20.7,59.1,56.5,495.42784576,8.76863443823009,0.8187,1092608,4.53436040885661,0,0,0,0,0,109.511909,18.252847,0,2008,0,0,0,2.8518292422364797,2385.6788914207964,5.292807910049114e-08,0.2998531952905342,0.495629490276121
2009,海南省,460200,三亚市,1733198,1390363.07,-0.802195173315455,0.19232101,0.055393,0.011206,0.023406,0.010039,0.010742,0.049887,0.034065,1836724.0,15.7,31667.6551724138,329170.0,386091.0,1121462.0,17.9,21.0,61.1,58.0,559.25416914,9.64231326103448,0.757,1223161,4.57220406095355,0,0,0,0,0,109.511909,18.252847,0,2009,0,0,0,2.9046571922163427,2385.6788914207964,4.52867611050385e-08,0.3156501883235322,0.505878043083139
2010,海南省,460200,三亚市,2308509,1549409.92,-0.67117343705396,0.20547688,0.064184,0.015647,0.026495,0.009925,0.012117,0.046349,0.026114,2387682.0,18.3,34669.4061274866,371993.0,491083.0,1524606.0,15.6,20.6,63.9,68.87,651.36850725,9.4579426056338,0.6489,1443178,4.51343151884244,0,0,0,0,0,109.511909,18.252847,0,2010,0,0,0,3.060162601626016,2385.6788914207964,4.447407041958788e-08,0.34027888451736377,0.6736671670032781
2011,海南省,460200,三亚市,2837549,1585666.43,-0.558815523538096,0.14434399,0.044368,0.010712,0.020834,0.006726,0.006095,0.035634,0.02493,2864966.0,13.6,38857.5342465753,401931.0,613944.0,1849091.0,14.0,21.4,64.5,73.73,623.97676881,8.462997,0.5535,1733198,3.6001470623091,0,0,0,0,0,109.511909,18.252847,0,2011,0,0,0,3.011823553939773,2777.6643084091424,2.5598921761968338e-08,0.35422611842386154,-0.10601779916058818
2012,海南省,460200,三亚市,3309625,1676536.59,-0.506563912830003,0.19822179,0.054628,0.010979,0.021901,0.008343,0.013405,0.061316,0.033326,3248228.0,8.8,41168.9226869455,450210.0,665892.0,2132125.0,13.9,20.5,65.6,78.9,727.62237252,9.22208330190114,0.5161,2308509,3.15191481826582,0,0,0,0,0,109.511909,18.252847,0,2012,0,0,0,3.060162601626016,3172.6745729448367,2.36637587291191e-08,0.2884511171496407,0.5811362135154617
2013,海南省,460200,三亚市,3734888,1723567.15,-0.461477599863771,0.14600367,0.037034,0.00859,0.018009,0.004392,0.006043,0.054881,0.035587,3658868.0,9.9,44954.7610271532,476033.22,736861.0,2445974.0,13.0,20.1,66.9,81.39,647.36949378,7.95391932399558,0.4711,2837549,2.28143899463939,0,0,0,0,0,109.511909,18.252847,0,2013,0,0,0,3.060162601626016,4383.198509141217,1.3051404574863729e-08,0.2596822116551996,-0.08485034667072808
2014,海南省,460200,三亚市,4022558,1649053.76,-0.409951518411916,0.176079,0.055845,0.014133,0.024588,0.006519,0.010605,0.044536,0.020465,4022558.0,5.5,47508.6571394827,551498.0,855798.0,2615262.0,13.7,21.3,65.0,84.67,786.40153209,9.28784140888154,0.41,3309625,2.37610464052574,0,0,0,0,0,109.511909,18.252847,0,2014,0,0,0,3.055933760069549,4208.568860749916,1.68735128602183e-08,0.2585785398647883,0.29872848713570777
2015,海南省,460200,三亚市,4358202,1756843.7,-0.403112040240448,0.26145977,0.074877,0.015724,0.035799,0.013075,0.010278,0.075576,0.046844,4411933.0,8.1,50752.7090762683,560425.0,878772.0,2972736.0,12.7,19.9,67.4,86.93,811.65414444,9.33687040653399,0.3982,3734888,2.17316863166981,0,0,0,0,0,109.511909,18.252847,0,2015,0,0,0,3.060162601626016,4601.575714957856,2.0047990729574755e-08,0.23528737675667918,1.3876693628000978
2016,海南省,460200,三亚市,4755567,1778193.05,-0.373918199449193,0.21312851,0.062469,0.014999,0.025713,0.009028,0.012729,0.058698,0.031446,4930618.0,7.8,54851.6853932584,628790.0,950370.0,3351458.0,12.7,19.3,68.0,89.89,817.95575217,9.09951888052064,0.3606,4022558,2.0334218976333,0,0,0,0,0,109.511909,18.252847,0,2016,0,0,0,3.060162601626016,4917.8185853309715,1.552967042364585e-08,0.2362601111034322,0.7712555662699973
2017,海南省,460200,三亚市,5298048,1790180.88,-0.337894424512575,0.15714569,0.046237,0.010449,0.022052,0.006223,0.007513,0.050725,0.024437,5460998.0,7.6,58606.9757458682,657298.0,1062451.0,3741249.0,12.4,19.5,68.5,93.18,683.57799188,7.33610208070401,0.3278,4358202,1.56848625162395,0,0,0,0,0,109.511909,18.252847,0,2017,0,0,0,3.060162601626016,6375.573894668436,1.0609191588641372e-08,0.2437819541177761,0.057254263248697035
2018,海南省,460200,三亚市,5955057,1860291.82,-0.312388583350252,0.27003038,0.077628,0.017237,0.035812,0.011471,0.013108,0.07602,0.046733,6222669.0,7.2,64934.4568506731,653132.0,1063419.0,4506117.0,10.5,17.1,72.4,95.83,687.8279813,7.17758511217782,0.299,4755567,1.44636376966196,0,0,0,0,0,109.511909,18.252847,0,2018,0,0,0,3.060162601626016,6913.889997629847,1.6323605576369757e-08,0.22361560671945113,1.496978374166217
2019,海南省,460200,三亚市,6780000,1835572.25,-0.27073337020649,0.23661902,0.077511,0.016691,0.036392,0.012626,0.011802,0.054485,0.023686,6891362.0,6.4,69715.3464845726,724616.0,1084435.0,5082311.0,10.5,15.7,73.8,98.85,637.36125102,6.44776177056146,0.2664,5298048,1.20301146954501,0,0,0,0,0,109.511909,18.252847,0,2019,0,0,0,3.060162601626016,8312.472701346807,1.4630105276509386e-08,0.20468576351139137,1.0708520272670479
2020,海南省,460200,三亚市,6950000,1809164.23,-0.2603114,0.20764362,0.063595,0.018208,0.028539,0.008934,0.007914,0.068057,0.021348,7088971.0,3.1,68340.6054179119,791572.0,1178584.0,5118815.0,11.2,16.6,72.2,103.73,698.09334366,6.72990787293936,0.2552,5955057,1.17226979298435,0,0,0,0,0,109.511909,18.252847,0,2020,0,0,0,3.060162601626016,8530.459506716565,1.0679158906455472e-08,0.19791313500441726,0.7013016302780537
2021,海南省,460200,三亚市,8350000,1877311.19,-0.22482768742515,0.255467,0.075723,0.019672,0.035637,0.008692,0.011722,0.080644,0.034933,8511401.0,12.1,80592.7563677682,937868.0,1247229.0,6326304.0,11.2,14.7,74.3,105.61,799.84585027,7.57358062939116,0.2206,6780000,1.17971364346608,0,0,0,0,0,109.511909,18.252847,0,2021,0,0,0,3.060162601626016,8476.633338425534,1.116858407079646e-08,0.1839570796460177,1.3112379577957243
2022,海南省,460200,三亚市,8470000,1764650.16,-0.217361966719493,0.20525394,0.063303,0.015486,0.030129,0.007659,0.010029,0.059414,0.02625,8666949.0,-4.5,81311.0892203771,1103273.0,1147681.0,6415995.0,12.7,13.3,74.0,106.59,549.86765778,5.15871711961722,0.2036,6950000,0.791176486014388,0,0,0,0,0,109.511909,18.252847,0,2022,0,0,0,3.060162601626016,12639.404958021136,9.108345323741007e-09,0.16513395683453239,0.6708238045128646
2023,海南省,460200,三亚市,9710000,1842297.76,-0.217361966719493,0.21579174,0.056572,0.016989,0.030311,0.012316,0.014026,0.043873,0.023258,9761350.0,12.0,88258.1374321881,1108472.0,1194651.0,7458228.0,11.4,13.66,74.9,110.6,581.98,5.2620253164557,0.1887,7506000,0.775353,0,0,0,0,0,109.511909,18.252847,0,2023,0,0,0,3.060162601626016,12897.35042441321,7.536903810285105e-09,0.15915947242206235,0.8052222312262362
2024,海南省,460200,三亚市,10519305,2793913.62,-0.265598689267019,0.21428353,0.053623,0.017071,0.029709,0.012982,0.014885,0.040591,0.021778,10047000.0,3.4,90018.8155183227,1141800.0,1440360.0,7464900.0,11.4,14.3,74.3,111.61,615.9676,5.51892841143267,0.2781,8106480,0.759846,0,0,0,0,0,109.511909,18.252847,0,2024,0,0,0,3.060162601626016,13160.562341266002,6.61483159151691e-09,0.17768007815969447,0.7859866174213267
2000,福建省,350400,三明市,2549813,8662605.85,-3.39734947229463,0.10839252,0.031121,0.007953,0.013722,0.00486,0.004585,0.035262,0.020107,2309100.0,7.3,8985.52416530469,695600.0,747800.0,865700.0,30.1,32.4,37.5,256.98,136.1613352,0.529851876410616,3.7515,31160000,0.0436974759948652,0,0,0,0,0,117.638678,26.263406,0,2000,0,0,0,1.1576624765980208,200016.76458782124,9.987483953786906e-10,0.023998716302952503,-0.564540546416464
2001,福建省,350400,三明市,2720804,11884745.7,-4.36810064231014,0.09637416,0.026739,0.006948,0.012364,0.00411,0.003317,0.036337,0.019164,2458700.0,7.92,9567.29833845675,711200.0,812800.0,934600.0,28.9,33.1,38.0,256.99,152.79663742,0.594562579944745,4.8338,10450813,0.146205503265631,0,0,0,0,0,117.638678,26.263406,0,2001,0,0,0,1.1498523622047243,68396.87820664085,2.558556927580658e-09,0.07777385357483671,-0.7178219406045216
2002,福建省,350400,三明市,2865663,12117941.1,-4.2286692817683,0.1085144,0.034277,0.008716,0.015292,0.004484,0.005785,0.032019,0.013471,2655400.0,8.2,10332.6977703413,725900.0,904500.0,1025000.0,27.3,34.1,38.6,256.99,161.6520101,0.629020623759679,4.5635,2720804,0.594133241865272,0,0,0,0,0,117.638678,26.263406,0,2002,0,0,0,1.1332227750138197,16831.241370378728,1.2598114380896235e-08,0.33243849979638374,-0.5629860966975639
2003,福建省,350400,三明市,3206821,13348060.38,-4.16239646054457,0.10359306,0.030459,0.008322,0.013109,0.004683,0.004345,0.02987,0.019819,2952200.0,9.36,11532.03125,770100.0,1050600.0,1131500.0,26.1,35.6,38.3,256.0,185.2792542,0.72374708671875,4.5214,2865663,0.646549347219125,0,0,0,0,0,117.638678,26.263406,0,2003,0,0,0,1.0770036169807728,15466.72352699917,1.0628953927939189e-08,0.36661673057857813,-0.6257525520603135
2004,福建省,350400,三明市,3758431,15366066.89,-4.08842596551593,0.18115959,0.053707,0.011385,0.022621,0.008373,0.011328,0.05331,0.023901,3400300.0,9.87,13335.0327463822,849400.0,1327100.0,1223900.0,25.2,37.7,37.1,254.99,240.30608464,0.942413759912153,4.519,3206821,0.749359208512106,0,0,0,0,0,117.638678,26.263406,0,2004,0,0,0,0.9222364554291312,13344.734923396154,1.6747738648337402e-08,0.4138366313554763,0.36352600680543834
2005,福建省,350400,三明市,3928434,17359074.13,-4.41882799354654,0.11608516,0.028488,0.006178,0.011861,0.004423,0.006026,0.043407,0.029312,3863200.0,15.2,15150.3980548257,905500.0,1570800.0,1386900.0,22.9,40.0,37.1,254.99,266.17773195,1.04387517922271,4.4934,3758431,0.708215028957562,0,0,0,0,0,117.638678,26.263406,0,2005,0,0,0,0.88292589763178,14120.005353062366,7.579758681215645e-09,0.41794035862305307,-0.46642910823464717
